Year,Annual Peak
1964,3060.0
1965,4440.0
1966,3040.0
1967,1790.0
1968,5620.0
1969,2240.0
1970,4180.0
1971,2320.0
1972,3440.0
1973,6010.0
1974,4510.0
1975,6780.0
1976,2730.0
1977,3920.0
1978,3620.0
1979,2130.0
1980,5680.0
1981,4180.0
1983,2560.0
1984,3810.0
1985,2450.0
1987,3760.0
1988,3590.0
1989,6270.0
1991,2650.0
1992,3040.0
1993,6840.0
1994,2260.0
1995,5810.0
1996,5340.0
1997,2940.0
1998,5730.0
1999,4290.0
2000,3480.0
2001,5100.0
2002,2730.0
2003,3470.0
2004,2400.0
2005,2020.0
2006,1810.0
2007,5020.0
2008,3260.0
2009,4920.0
2010,4920.0
